product_name	product_url	category	status	stars
S52 Durable King Drone No Camera	https://yoshops.com/products/s52-durable-king-drone-no-camera	Drones	Reviewd	4.0
Drone Workshop Training Program	https://yoshops.com/products/drone-workshop-training-program	Drones	Reviewd	5.0
Navigator Quadcopter Remote Control Drone	https://yoshops.com/products/navigator-quadcopter-remote-control-drone	Drones	Reviewd	3.0
QY66 D1 Drone - 6 Axis Gyro RC Quadcopter Without camera	https://yoshops.com/products/qy66-d1-drone-6-axis-gyro-rc-quadcopter-no-camera	Drones	unreviewed	0.0
Sky King Drone 6 Axis Gyro RC Quadcopter Without camera	https://yoshops.com/products/sky-king-drone-6-axis-gyro-rc-quadcopter-without-camera	Drones	unreviewed	0.0
Pluto Programmable Smartphone Controlled Nano Drone	https://yoshops.com/products/pluto-programmable-smartphone-controlled-nano-drone	Drones	unreviewed	0.0
3.7V 275mAH Lithium Polymer(LiPo) Rechargeable Battery for RC Drone	https://yoshops.com/products/37v-275mah-lithium-polymerlipo-rechargeable-battery-for-rc-drone	Drones	unreviewed	0.0
Big Foot Mini Monster Truck	https://yoshops.com/products/big-foot-mini-monster-truck-red-green-black-blue1	Drones	unreviewed	0.0
HX-713 Remote Control Helicopter	https://yoshops.com/products/hx-713-remote-control-helicopter	RC Toys	Reviewd	4.9
"Falcon Drone Four Axis Aircraft with 2.4 GHz RC, Blade Guard, Headless Mode LED Without Camera"	https://yoshops.com/products/falcon-drone-four-axis-aircraft-with-2-4-ghz-rc-blade-guard-headless-mode-led-without-camera	RC Toys	Reviewd	5.0
Diabolo Captain America Civil War Q Series Hyun Lights Upgraded Mini Drone Without Camera	https://yoshops.com/products/captain-america-24ghz-rc-quad-copter-drone	RC Toys	Reviewd	5.0
Avengers Captain America Drone Four Axis Aircraft with 2.4 GHz Without Camera	https://yoshops.com/products/avengers-captain-america-drone-four-axis-aircraft-with-2-4-ghz-rc-blade-guard-headless-mode-led-without-camera	RC Toys	Reviewd	5.0
HX708 Remote Control Helicopter	https://yoshops.com/products/hx708-remote-control-helicopter	RC Toys	Reviewd	5.0
HX-715 Flying Helicopter With Remote Control Toy	https://yoshops.com/products/flying-helicopter-with-remote-control	RC Toys	Reviewd	5.0
Magic Tracks Bend Flex & Glow Racetrack with LED Flashing Race Cars Battery Operated	https://yoshops.com/products/magic-tracks-bend-flex-glow-racetrack-with-led-flashing-race-cars-battery-operated	RC Toys	unreviewed	0.0
"Mini VR BOX Virtual Reality Headsets with ultra 3D glasses Compatible with Android and IOS Devices (Blue, Black)"	https://yoshops.com/products/mini-vr-box-virtual-reality-headsets-with-ultra-3d-glasses-compatible-with-android-and-ios-devices-blue-black	RC Toys	unreviewed	0.0
Flying Avengers Hero Induction Control helicopter	https://yoshops.com/products/flying-avengers-hero-induction-control-helicopter	RC Toys	unreviewed	0.0
Sensor Flying Helicopter with charger	https://yoshops.com/products/sensor-flying-helicopter-with-charger	RC Toys	unreviewed	0.0
Hohot Singing Doll (Pink)	https://yoshops.com/products/hohot-singing-doll-pink	RC Toys	unreviewed	0.0
Big Foot Mini Monster Truck	https://yoshops.com/products/big-foot-mini-monster-truck-red-green-black-blue1	RC Toys	unreviewed	0.0
Piggy Bank Saving Coin Box	https://yoshops.com/products/piggy-bank-saving-coin-box	Soft Toys	unreviewed	0.0
Teddy Tiger Home Décor Soft Toy	https://yoshops.com/products/xn-teddy-tiger-home-dcor-soft-toy-sxc	Soft Toys	unreviewed	0.0
Color Clay Set for Kids Children Colors Air Dry Clay	https://yoshops.com/products/color-clay-set-for-kids-children-colors-air-dry-clay	Soft Toys	unreviewed	0.0
